节点名称,实例名称/ID,状态,支付方式,可用区,IP地址,配置/类型,加速芯片类型,加速芯片（已使用/总卡数）,空闲加速芯片卡数,资源申请 | 限制,容器组（已分配/总额度）,节点组,超节点,Kubelet版本/Runtime版本/OS版本,创建时间
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 21:14:04
10.89.0.143,cce-ig-n2n53rim-3r8stcjf-caep2nx6-2 / i-h7ssaX3R,可用,后付费,可用区C,10.89.0.143,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 19:01:48
10.89.0.142,cce-ig-n2n53rim-3r8stcjf-caep2nx6-1 / i-ZildVl9Z,可用,后付费,可用区C,10.89.0.142,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 19:01:47
10.89.0.140,cce-ig-n2n53rim-usw5jxw4-caep2nx6-1 / i-oDWzPhU0,可用,后付费,可用区C,10.89.0.140,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 18:42:10
10.89.0.141,cce-ig-n2n53rim-usw5jxw4-caep2nx6-2 / i-bwwM3RNJ,可用,后付费,可用区C,10.89.0.141,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 18:42:10
10.89.0.139,cce-ig-n2n53rim-mwci1djb-caep2nx6-2 / i-pCcRAWve,可用,后付费,可用区C,10.89.0.139,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 18:12:48
10.89.0.138,cce-ig-n2n53rim-mwci1djb-caep2nx6-1 / i-GNpNh3NT,可用,后付费,可用区C,10.89.0.138,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 18:12:48
10.90.0.121,CCE-BBC-ai-platform-H20-oad7s7wt-lfrfvmqn-1 / i-JX0CBivt,可用,后付费,可用区C,10.90.0.121,208核/2048GB/100GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,H20-nodepool（cce-ig-5od2q7kk）,,-,2025-07-18 18:00:57
10.89.0.136,cce-ig-n2n53rim-l04qdafb-caep2nx6-1 / i-uHofNcF7,可用,后付费,可用区C,10.89.0.136,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 18:00:19
10.89.0.137,cce-ig-n2n53rim-l04qdafb-caep2nx6-2 / i-JBpYNCOq,可用,后付费,可用区C,10.89.0.137,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 18:00:19
10.89.0.134,cce-ig-n2n53rim-sxk95eja-caep2nx6-1 / i-davjnudF,可用,后付费,可用区C,10.89.0.134,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 17:50:58
10.89.0.135,cce-ig-n2n53rim-sxk95eja-caep2nx6-2 / i-ghiI8Kt4,可用,后付费,可用区C,10.89.0.135,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 17:50:58
10.89.0.133,cce-ig-n2n53rim-3p5y7izd-caep2nx6 / i-odCPXU1M,可用,后付费,可用区C,10.89.0.133,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 17:40:09
10.89.0.132,cce-ig-n2n53rim-d5pkbl0t-caep2nx6 / i-2N9QYLED,可用,后付费,可用区C,10.89.0.132,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-18 17:29:05
10.89.0.72,cce-ig-n2n53rim-fiit5pxr-caep2nx6-17 / i-P1bqIRQ2,可用,后付费,可用区C,10.89.0.72,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-10 09:05:51
10.89.0.69,cce-ig-n2n53rim-fiit5pxr-caep2nx6-02 / i-WPnUUfbV,可用,后付费,可用区C,10.89.0.69,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-10 09:05:51
10.89.0.71,cce-ig-n2n53rim-fiit5pxr-caep2nx6-07 / i-6mlTUE6j,可用,后付费,可用区C,10.89.0.71,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-10 09:05:51
10.89.0.70,cce-ig-n2n53rim-fiit5pxr-caep2nx6-19 / i-GM0ohRfE,可用,后付费,可用区C,10.89.0.70,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-07-10 09:05:51
10.89.0.65,cce-ig-49zcib7u-5q3xx5mk-92wz24nr-1 / i-IadiXCst,可用,后付费,可用区C,10.89.0.65,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-06-20 19:55:01
10.89.0.67,cce-ig-49zcib7u-fugmmvli-92wz24nr-1 / i-MZxGOAVw,可用,后付费,可用区C,10.89.0.67,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-06-20 19:55:01
10.89.0.125,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-30 / i-Z8d0YAqX,可用,后付费,可用区C,10.89.0.125,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:25
10.89.0.113,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-07 / i-xoDnPBX6,可用,后付费,可用区C,10.89.0.113,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:25
10.89.0.108,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-18 / i-7wFUDudL,可用,后付费,可用区C,10.89.0.108,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:25
10.89.0.103,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-22 / i-RprCnoEX,可用,后付费,可用区C,10.89.0.103,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:25
10.89.0.110,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-23 / i-z3i9u4eJ,可用,后付费,可用区C,10.89.0.110,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:25
10.89.0.107,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-04 / i-wEdQrr4s,可用,后付费,可用区C,10.89.0.107,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:25
10.89.0.105,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-27 / i-yRFKoWEe,可用,后付费,可用区C,10.89.0.105,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:25
10.89.0.101,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-03 / i-xBBe6ZJh,可用,后付费,可用区C,10.89.0.101,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:25
10.89.0.117,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-25 / i-t5uobY4c,可用,后付费,可用区C,10.89.0.117,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:23
10.89.0.106,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-05 / i-tL9phktE,可用,后付费,可用区C,10.89.0.106,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:23
10.89.0.115,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-17 / i-YGHNhoSw,可用,后付费,可用区C,10.89.0.115,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:23
10.89.0.111,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-13 / i-EI32EDvn,可用,后付费,可用区C,10.89.0.111,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:23
10.89.0.126,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-14 / i-uue4dS6D,可用,后付费,可用区C,10.89.0.126,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:23
10.89.0.128,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-28 / i-Wh8Wzu68,可用,后付费,可用区C,10.89.0.128,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:23
10.89.0.109,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-08 / i-DwAgur53,可用,后付费,可用区C,10.89.0.109,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:23
10.89.0.104,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-11 / i-tQwgZvcN,可用,后付费,可用区C,10.89.0.104,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:23
10.89.0.102,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-21 / i-ZqarfS2d,可用,后付费,可用区C,10.89.0.102,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:23
10.89.0.127,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-01 / i-rQWjhdYG,可用,后付费,可用区C,10.89.0.127,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:23
10.89.0.124,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-10 / i-Z0wqbmYA,可用,后付费,可用区C,10.89.0.124,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:23
10.89.0.123,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-24 / i-Ok4Rko1n,可用,后付费,可用区C,10.89.0.123,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:23
10.89.0.122,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-20 / i-9EOfLaWh,可用,后付费,可用区C,10.89.0.122,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:22
10.89.0.112,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-06 / i-q0t0T5LP,可用,后付费,可用区C,10.89.0.112,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:22
10.89.0.121,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-19 / i-yzgRokmM,可用,后付费,可用区C,10.89.0.121,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:22
10.89.0.118,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-16 / i-pY2dnuwt,可用,后付费,可用区C,10.89.0.118,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:22
10.89.0.120,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-15 / i-hMMCOimy,可用,后付费,可用区C,10.89.0.120,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:22
10.89.0.114,cce-ig-n2n53rim-c8ruz2pf-caep2nx6-02 / i-hSIkmVRe,可用,后付费,可用区C,10.89.0.114,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-06-20 19:25:22
10.89.0.66,cce-ig-49zcib7u-fugmmvli-92wz24nr-2 / i-TyUxQmDo,可用,后付费,可用区C,10.89.0.66,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-06-17 09:22:22
10.89.0.64,cce-ig-49zcib7u-5q3xx5mk-92wz24nr-2 / i-8dFODme6,可用,后付费,可用区C,10.89.0.64,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-06-17 00:43:34
10.90.0.139,cce-uk1zi507-2zmzy7iw / i-FK5EaHCb,可用,后付费,可用区C,10.90.0.139,208核/2048GB/500GB/lgn7tne,nTeslaH20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,H20-nodepool（cce-ig-5od2q7kk）,,-,2025-06-16 17:42:03
10.89.0.63,cce-ig-49zcib7u-hns7rbip-92wz24nr-1 / i-gfje7Esj,可用,后付费,可用区C,10.89.0.63,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-06-16 14:02:24
10.89.0.61,cce-ig-49zcib7u-zwawhk54-92wz24nr-1 / i-EMHccB1h,可用,后付费,可用区C,10.89.0.61,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-06-10 17:59:31
10.89.0.62,cce-ig-49zcib7u-zwawhk54-92wz24nr-2 / i-b05R9UkX,可用,后付费,可用区C,10.89.0.62,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-06-10 17:59:31
10.89.0.60,cce-ig-49zcib7u-h4vv81de-92wz24nr / i-Jq7I5yMt,可用,后付费,可用区C,10.89.0.60,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-06-03 18:52:38
10.89.0.59,cce-ig-49zcib7u-maz0x4oy-92wz24nr-1 / i-wJLqnCzs,可用,后付费,可用区C,10.89.0.59,208核/1024GB/500GB/lgn7sne,nTeslaL20,"""0/8""",0,"CPU: - | - 
内存: - | -",- / -,L20-nodepool（cce-ig-49zcib7u）,,-,2025-06-03 17:57:23
10.89.0.44,cce-ig-n2n53rim-xj29nuxg-caep2nx6-13 / i-VT48d9yk,可用,后付费,可用区C,10.89.0.44,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 14:03:23
10.89.0.52,cce-ig-n2n53rim-xj29nuxg-caep2nx6-16 / i-OiAI7fCM,可用,后付费,可用区C,10.89.0.52,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 14:03:21
10.89.0.43,cce-ig-n2n53rim-xj29nuxg-caep2nx6-04 / i-Y5bWmDK8,可用,后付费,可用区C,10.89.0.43,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 14:03:21
10.89.0.47,cce-ig-n2n53rim-xj29nuxg-caep2nx6-10 / i-QemJWJVP,可用,后付费,可用区C,10.89.0.47,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 14:03:21
10.89.0.48,cce-ig-n2n53rim-xj29nuxg-caep2nx6-11 / i-gpVP7De6,可用,后付费,可用区C,10.89.0.48,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 14:03:21
10.89.0.51,cce-ig-n2n53rim-xj29nuxg-caep2nx6-20 / i-RORdgSWz,可用,后付费,可用区C,10.89.0.51,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 14:03:21
10.89.0.9,cce-ig-n2n53rim-ligindqy-caep2nx6-09 / i-Tl96JiEI,可用,后付费,可用区C,10.89.0.9,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 13:56:56
10.89.0.10,cce-ig-n2n53rim-ligindqy-caep2nx6-07 / i-hTQyax2K,可用,后付费,可用区C,10.89.0.10,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 13:56:54
10.89.0.13,cce-ig-n2n53rim-ligindqy-caep2nx6-23 / i-wpkYjlpj,可用,后付费,可用区C,10.89.0.13,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 13:56:54
10.89.0.14,cce-ig-n2n53rim-ligindqy-caep2nx6-03 / i-sSyvuN4b,可用,后付费,可用区C,10.89.0.14,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 13:56:54
10.89.0.11,cce-ig-n2n53rim-ligindqy-caep2nx6-13 / i-LWXujutH,可用,后付费,可用区C,10.89.0.11,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 13:56:54
10.89.0.18,cce-ig-n2n53rim-ligindqy-caep2nx6-25 / i-A9gykn0i,可用,后付费,可用区C,10.89.0.18,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 13:56:54
10.89.0.17,cce-ig-n2n53rim-ligindqy-caep2nx6-04 / i-cgrCuHAp,可用,后付费,可用区C,10.89.0.17,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 13:56:54
10.89.0.19,cce-ig-n2n53rim-ligindqy-caep2nx6-21 / i-YSrFslme,可用,后付费,可用区C,10.89.0.19,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 13:56:54
10.89.0.21,cce-ig-n2n53rim-ligindqy-caep2nx6-08 / i-lBFqxsxK,可用,后付费,可用区C,10.89.0.21,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 13:56:54
10.89.0.20,cce-ig-n2n53rim-ligindqy-caep2nx6-05 / i-XZuomcsb,可用,后付费,可用区C,10.89.0.20,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 13:56:54
10.89.0.12,cce-ig-n2n53rim-ligindqy-caep2nx6-14 / i-KRuH7iov,可用,后付费,可用区C,10.89.0.12,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 13:56:54
10.89.0.8,cce-ig-n2n53rim-ligindqy-caep2nx6-24 / i-nkjsqY4t,可用,后付费,可用区C,10.89.0.8,84核/352GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,cpu-星环数据处理84c352Gi（cce-ig-n2n53rim）,,-,2025-05-23 13:56:54
10.90.0.45,cce-ig-vrovxrea-y6m87sc0-34ovr9lb-2 / i-FOnqx3p8,可用,后付费,可用区C,10.90.0.45,64核/256GB/200GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,nodepool-调度平台业务-64c256g（cce-ig-bg7gcqxk）,,-,2025-05-15 16:46:25
10.90.0.74,cce-ig-vrovxrea-y6m87sc0-34ovr9lb-1 / i-2XjnFiwl,可用,后付费,可用区C,10.90.0.74,64核/256GB/100GB/g4,,"""0/0""",0,"CPU: - | - 
内存: - | -",- / -,nodepool-调度平台业务-64c256g（cce-ig-bg7gcqxk）,,-,2025-05-15 16:46:25
