BCC_ID,名称,标签,描述,状态,GPU型号,GPU数量,GPU显存,实例规格,主IPv4私网地址,主IPv4公网地址,IP地址,弹性网卡数量,ipv6地址,CPU（核）,内存（GB）,系统盘（GB）,操作系统名称,操作系统版本,支付方式,所在网络,所在子网,创建时间,到期时间,地域,可用区,密钥对id,密钥对名称
"i-tL9phktE","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-05","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.106","","10.89.0.106(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-q0t0T5LP","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-06","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.112","","10.89.0.112(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-xoDnPBX6","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-07","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.113","","10.89.0.113(内)  -(公)
","1","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-DwAgur53","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-08","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.109","","10.89.0.109(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-Z0wqbmYA","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-10","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.124","","10.89.0.124(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-tQwgZvcN","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-11","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.104","","10.89.0.104(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-EI32EDvn","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-13","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.111","","10.89.0.111(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-uue4dS6D","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-14","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.126","","10.89.0.126(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-hMMCOimy","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-15","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.120","","10.89.0.120(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-pY2dnuwt","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-16","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.118","","10.89.0.118(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-YGHNhoSw","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-17","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.115","","10.89.0.115(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-7wFUDudL","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-18","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.108","","10.89.0.108(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-yzgRokmM","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-19","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.121","","10.89.0.121(内)  -(公)
","1","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-9EOfLaWh","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-20","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.122","","10.89.0.122(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-ZqarfS2d","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-21","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.102","","10.89.0.102(内)  -(公)
","1","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-RprCnoEX","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-22","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.103","","10.89.0.103(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-z3i9u4eJ","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-23","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.110","","10.89.0.110(内)  -(公)
","1","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-Ok4Rko1n","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-24","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.123","","10.89.0.123(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-t5uobY4c","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-25","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.117","","10.89.0.117(内)  -(公)
","1","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-yRFKoWEe","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-27","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.105","","10.89.0.105(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-Wh8Wzu68","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-28","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.128","","10.89.0.128(内)  -(公)
","2","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-Z8d0YAqX","cce-ig-n2n53rim-c8ruz2pf-caep2nx6-30","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-n2n53rim","","运行中","","0","","bcc.g4.c84m352","10.89.0.125","","10.89.0.125(内)  -(公)
","1","","84","352","100","Ubuntu","22.04 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-20T19:25:16","","\u9633\u6CC9","可用区C","",""
"i-UnqPYoGN","truncate_serivice_prod_02","默认项目:,工程:闭环,source:CCE,cce-cluster-id:cce-k5sn275j,开通人:丁一202509531,申请人:张文博202411388,cce-instance-group-id:cce-ig-bv6bhxcs,工单:c68941a8-5013-11f0-bb62-9a36dfad7f11","","运行中","","0","","bcc.c4.c8m16","10.90.96.5","","10.90.96.5(内)  -(公)
","2","","8","16","500","baidulinux","3.0 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-其他业务-node1","2025-06-20T17:00:28","","\u9633\u6CC9","可用区C","",""
"i-CmFRLjw1","truncate_service_prod_01","默认项目:,工程:闭环,source:CCE,cce-cluster-id:cce-k5sn275j,开通人:丁一202509531,申请人:张文博202411388,cce-instance-group-id:cce-ig-bv6bhxcs,工单:c68941a8-5013-11f0-bb62-9a36dfad7f11","","运行中","","0","","bcc.c4.c8m16","10.90.96.4","","10.90.96.4(内)  -(公)
","2","","8","16","500","baidulinux","3.0 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-其他业务-node1","2025-06-20T17:00:28","","\u9633\u6CC9","可用区C","",""
"i-WHpnvdYc","turncate_service_dev_01","工程:闭环,source:CCE,开通人:丁一202509531,cce-cluster-id:cce-ld2ckre2,申请人:张文博202411388,工单:c68941a8-5013-11f0-bb62-9a36dfad7f11,cce-instance-group-id:cce-ig-jjqn27vp","","运行中","","0","","bcc.c4.c2m4","10.90.96.2","","10.90.96.2(内)  -(公)
","2","","2","4","100","baidulinux","3.0 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-其他业务-node1","2025-06-20T16:52:32","","\u9633\u6CC9","可用区C","",""
"i-b5NoiMSl","turncate_service_dev_02","工程:闭环,source:CCE,开通人:丁一202509531,cce-cluster-id:cce-ld2ckre2,申请人:张文博202411388,工单:c68941a8-5013-11f0-bb62-9a36dfad7f11,cce-instance-group-id:cce-ig-jjqn27vp","","运行中","","0","","bcc.c4.c2m4","10.90.96.3","","10.90.96.3(内)  -(公)
","2","","2","4","100","baidulinux","3.0 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-其他业务-node1","2025-06-20T16:52:32","","\u9633\u6CC9","可用区C","",""
"i-kshmK3du","pfs-mt-V0V6DD-000002","source:PFS,pfs-mountservice-id:mt-V0V6DD","","运行中","","0","","bcc.g4.c8m32","10.91.0.35","","10.91.0.35(内)  -(公)
","0","","8","32","40","CentOS","8.4 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-沙盒环境-node1","2025-06-17T14:52:03","","\u9633\u6CC9","可用区C","",""
"i-jRqGfKsC","pfs-mt-V0V6DD-000003","source:PFS,pfs-mountservice-id:mt-V0V6DD","","运行中","","0","","bcc.g4.c8m32","10.91.0.36","","10.91.0.36(内)  -(公)
","0","","8","32","40","CentOS","8.4 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-沙盒环境-node1","2025-06-17T14:52:03","","\u9633\u6CC9","可用区C","",""
"i-SWt3OMlB","pfs-mt-V0V6DD-000001","source:PFS,pfs-mountservice-id:mt-V0V6DD","","运行中","","0","","bcc.g4.c8m32","10.91.0.34","","10.91.0.34(内)  -(公)
","0","","8","32","40","CentOS","8.4 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-沙盒环境-node1","2025-06-17T14:51:49","","\u9633\u6CC9","可用区C","",""
"i-MZxGOAVw","cce-ig-49zcib7u-fugmmvli-92wz24nr-1","环境:哈密百度云生产,开通人:曹恩润202312621,项目:调度平台,工程:调度平台,申请人:黄佳202505879,is_gup:true,is_gpu:true","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.89.0.67","","10.89.0.67(内)  -(公)
","3","","208","1024","500","Ubuntu","22.04-U1 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-17T09:22:19","","\u9633\u6CC9","可用区C","",""
"i-TyUxQmDo","cce-ig-49zcib7u-fugmmvli-92wz24nr-2","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-49zcib7u,is_gup:true,is_gpu:true","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.89.0.66","","10.89.0.66(内)  -(公)
","3","","208","1024","500","Ubuntu","22.04-U1 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-17T09:22:19","","\u9633\u6CC9","可用区C","",""
"i-IadiXCst","cce-ig-49zcib7u-5q3xx5mk-92wz24nr-1","环境:哈密百度云生产,开通人:曹恩润202312621,项目:调度平台,工程:调度平台,申请人:黄佳202505879,is_gup:true,is_gpu:true","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.89.0.65","","10.89.0.65(内)  -(公)
","3","","208","1024","500","Ubuntu","22.04-U1 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-17T00:43:29","","\u9633\u6CC9","可用区C","",""
"i-8dFODme6","cce-ig-49zcib7u-5q3xx5mk-92wz24nr-2","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-49zcib7u,is_gup:true,is_gpu:true","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.89.0.64","","10.89.0.64(内)  -(公)
","2","","208","1024","500","Ubuntu","22.04-U1 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-17T00:43:29","","\u9633\u6CC9","可用区C","",""
"i-RasJnq4I","cce-ig-or1qvxa1-e92sihiq-banu8rw6-1","工单:20250303前期资源会签流程,环境:哈密百度云生产,工程:基建,开通人:曹恩润202312621,申请人:戴峰202109231,项目:PAAS,source:CCE,cce-cluster-id:cce-k5sn275j,cce-instance-group-id:cce-ig-or1qvxa1","","运行中","","0","","bcc.g4.c64m256","10.90.0.136","","10.90.0.136(内)  -(公)
","1","","64","256","300","CentOS","7.9 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-AI平台-node1","2025-06-16T17:09:41","","\u9633\u6CC9","可用区C","",""
"i-gTdQVzyP","cce-ig-or1qvxa1-e92sihiq-banu8rw6-2","工单:20250303前期资源会签流程,环境:哈密百度云生产,工程:基建,开通人:曹恩润202312621,申请人:戴峰202109231,项目:PAAS,source:CCE,cce-cluster-id:cce-k5sn275j,cce-instance-group-id:cce-ig-or1qvxa1","","运行中","","0","","bcc.g4.c64m256","10.90.0.138","","10.90.0.138(内)  -(公)
","1","","64","256","300","CentOS","7.9 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-AI平台-node1","2025-06-16T17:09:41","","\u9633\u6CC9","可用区C","",""
"i-tJckxlYG","cce-ig-or1qvxa1-e92sihiq-banu8rw6-3","工单:20250303前期资源会签流程,环境:哈密百度云生产,工程:基建,开通人:曹恩润202312621,申请人:戴峰202109231,项目:PAAS,source:CCE,cce-cluster-id:cce-k5sn275j,cce-instance-group-id:cce-ig-or1qvxa1","","运行中","","0","","bcc.g4.c64m256","10.90.0.137","","10.90.0.137(内)  -(公)
","1","","64","256","300","CentOS","7.9 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-AI平台-node1","2025-06-16T17:09:41","","\u9633\u6CC9","可用区C","",""
"i-gfje7Esj","cce-ig-49zcib7u-hns7rbip-92wz24nr-1","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-49zcib7u,is_gup:true,is_gpu:true","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.89.0.63","","10.89.0.63(内)  -(公)
","2","","208","1024","500","Ubuntu","22.04-U1 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-数据处理-node1","2025-06-16T14:02:17","","\u9633\u6CC9","可用区C","",""
"i-eohwoXm1","prod-哈密星环开发堡垒机-04","工程:闭环,开通人:丁一202509531,申请人:詹小雷202305592","","运行中","","0","","bcc.g4.c8m32","10.79.0.108","","10.79.0.108(内)  -(公)
","0","","8","32","100","Windows Server","2022 x86_64 (64bit) 中文版","后付费","VPC-哈密中心资源池-生产区","sn-生产-DMZ区","2025-06-13T10:48:40","","\u9633\u6CC9","可用区C","",""
"i-BsKA01WI","prod-哈密星环开发堡垒机-03","工程:闭环,开通人:丁一202509531,申请人:詹小雷202305592","","运行中","","0","","bcc.g4.c8m32","10.79.0.110","","10.79.0.110(内)  -(公)
","0","","8","32","100","Windows Server","2022 x86_64 (64bit) 中文版","后付费","VPC-哈密中心资源池-生产区","sn-生产-DMZ区","2025-06-13T10:48:40","","\u9633\u6CC9","可用区C","",""
"i-hr8930zi","prod-哈密星环开发堡垒机-02","工程:闭环,开通人:丁一202509531,申请人:詹小雷202305592","","运行中","","0","","bcc.g4.c8m32","10.79.0.109","","10.79.0.109(内)  -(公)
","0","","8","32","100","Windows Server","2022 x86_64 (64bit) 中文版","后付费","VPC-哈密中心资源池-生产区","sn-生产-DMZ区","2025-06-13T10:48:40","","\u9633\u6CC9","可用区C","",""
"i-3sUiC31w","prod-哈密星环开发堡垒机-01","工程:闭环,开通人:丁一202509531,申请人:詹小雷202305592","","运行中","","0","","bcc.g4.c8m32","10.79.0.107","","10.79.0.107(内)  -(公)
","0","","8","32","100","Windows Server","2022 x86_64 (64bit) 中文版","后付费","VPC-哈密中心资源池-生产区","sn-生产-DMZ区","2025-06-13T10:48:40","","\u9633\u6CC9","可用区C","",""
"i-VaXVCXx1","baidu_运维_勿删","默认项目:","","运行中","","0","","bcc.c4.c2m4","10.79.0.106","","10.79.0.106(内)  -(公)
","0","","2","4","50","CentOS","8.1 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-生产-DMZ区","2025-06-13T09:31:46","","\u9633\u6CC9","可用区C","",""
"i-f287DZ8n","CCE-EBC-triton-server-L20-fucabr7m-u5esp1do-1","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-49zcib7u,工单:月度需求,团队:融合链路,is_gup:true,is_gpu:true","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.90.128.123","","10.90.128.123(内)  -(公)
","2","","208","1024","500","Ubuntu","22.04-U1 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-推理服务-node1","2025-06-12T09:16:33","","\u9633\u6CC9","可用区C","",""
"i-k5jt1qp8","CCE-EBC-triton-server-L20-fucabr7m-u5esp1do-2","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-49zcib7u,工单:月度需求,团队:融合链路,is_gup:true,is_gpu:true","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.90.128.121","","10.90.128.121(内)  -(公)
","2","","208","1024","500","Ubuntu","22.04-U1 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-推理服务-node1","2025-06-12T09:16:33","","\u9633\u6CC9","可用区C","",""
"i-A8XwvWpE","CCE-EBC-triton-server-L20-fucabr7m-u5esp1do-3","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-49zcib7u,工单:月度需求,团队:融合链路,is_gup:true,is_gpu:true","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.90.128.122","","10.90.128.122(内)  -(公)
","2","","208","1024","500","Ubuntu","22.04-U1 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-推理服务-node1","2025-06-12T09:16:33","","\u9633\u6CC9","可用区C","",""
"i-9dbYoh29","CCE-EBC-triton-server-L20-6wn0n0uh-u5esp1do","环境:哈密百度云生产,开通人:曹恩润202312621,source:CCE,项目:调度平台,工程:调度平台,申请人:黄佳202505879,cce-cluster-id:cce-2ys5dxch,cce-instance-group-id:cce-ig-49zcib7u,工单:月度需求,团队:融合链路,is_gup:true,is_gpu:true","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.90.128.120","","10.90.128.120(内)  -(公)
","2","","208","1024","500","Ubuntu","22.04-U1 LTS amd64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-推理服务-node1","2025-06-11T14:06:00","","\u9633\u6CC9","可用区C","",""
"i-cPM1LZkq","CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-01","环境:哈密百度云生产,开通人:郑傲宇202410692,source:CCE,cce-cluster-id:cce-p6w3c5z8,工程:推理服务,项目:调度平台,工单:月度需求,申请人:钦夏孟202405674,团队:融合链路,cce-instance-group-id:cce-ig-xzavk15m,is_gup:true,is_gpu:true","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.90.128.96","","10.90.128.96(内)  -(公)
","1","","208","1024","500","CentOS","8.4-U1 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-推理服务-node1","2025-06-11T14:01:45","","\u9633\u6CC9","可用区C","",""
"i-J3PMbh61","CCE-EBC-triton-server-L20-80wb5vvm-u5esp1do-03","环境:哈密百度云生产,开通人:郑傲宇202410692,source:CCE,cce-cluster-id:cce-p6w3c5z8,工程:推理服务,工单:月度需求,申请人:钦夏孟202405674,cce-instance-group-id:cce-ig-2zicvblt,团队:融合链路-测试团队,is_gup:true,is_gpu:true","","运行中","nTeslaL20","8","384GB","ehc.lgn7sne.c208m1024.8l20.4re.4d","10.90.128.98","","10.90.128.98(内)  -(公)
","1","","208","1024","500","CentOS","8.4-U1 x86_64 (64bit)","后付费","VPC-哈密中心资源池-生产区","sn-推理服务-node1","2025-06-11T14:01:45","","\u9633\u6CC9","可用区C","",""
